system:index,NDVI,temperature,.geo
44,-0.008164542727172375,30.05568131000001,"{""type"":""Point"",""coordinates"":[76.2054611435388,9.871806631133342]}"
45,0.2798754572868347,35.953474820000025,"{""type"":""Point"",""coordinates"":[76.38186319472979,9.865786083524728]}"
46,-8.679796010255814E-4,31.27762346000003,"{""type"":""Point"",""coordinates"":[76.2356700226542,10.019806691684733]}"
47,-0.01630440168082714,30.207783200000023,"{""type"":""Point"",""coordinates"":[76.23071631470474,9.89517336087571]}"
48,0.15842555463314056,36.86779517000002,"{""type"":""Point"",""coordinates"":[76.27516388251087,10.021235802430876]}"
49,0.31010305881500244,37.74793532000001,"{""type"":""Point"",""coordinates"":[76.29978399586119,9.802304798201211]}"
50,0.19678059220314026,37.93250840000002,"{""type"":""Point"",""coordinates"":[76.35402778239445,10.000417186203725]}"
51,0.17888794839382172,32.104784300000006,"{""type"":""Point"",""coordinates"":[76.27699751406479,9.81387415158509]}"
52,0.2070654034614563,38.08290127999999,"{""type"":""Point"",""coordinates"":[76.32219315928921,10.021673617499427]}"
53,-0.007760079111903906,29.857436150000012,"{""type"":""Point"",""coordinates"":[76.16467447054525,9.863340721053907]}"
54,0.2873798608779907,34.34016938000002,"{""type"":""Point"",""coordinates"":[76.22190813211337,10.013245258172935]}"
55,0.015480095520615578,30.717068180000012,"{""type"":""Point"",""coordinates"":[76.26778882718405,9.899576645949772]}"
56,0.21019816398620605,35.517677270000036,"{""type"":""Point"",""coordinates"":[76.33170570060321,9.963055651405439]}"
57,-0.010448128916323185,29.67969911000006,"{""type"":""Point"",""coordinates"":[76.14216512888402,9.96458025816844]}"
58,0.2725169062614441,34.34358740000005,"{""type"":""Point"",""coordinates"":[76.28473450392853,10.059963605616312]}"
59,0.15865439176559448,37.47620273000001,"{""type"":""Point"",""coordinates"":[76.31986068212223,9.951738305764144]}"
60,-0.007207843475043774,29.790784760000008,"{""type"":""Point"",""coordinates"":[76.21047945728026,9.816788870647558]}"
61,0.16426882147789001,33.024231680000014,"{""type"":""Point"",""coordinates"":[76.25270222887416,9.91210291908379]}"
62,0.11761981248855591,38.37343298000002,"{""type"":""Point"",""coordinates"":[76.25839674645353,9.937446852699182]}"
63,0.23568245768547058,31.728802100000053,"{""type"":""Point"",""coordinates"":[76.33220939522265,9.820567915361298]}"
